threads,ms
1,228.186
2,161.244
3,147.422
4,117.256
5,108.717
6,124.895
7,114.175
8,121.624
9,122.035
10,91.983
11,101.661
12,107.918
13,105.193
14,112.522
15,96.9796
16,98.323
17,94.4274
18,117.866
19,100.928
20,111.776
21,118.27
22,96.8139
23,99.8467
24,117.635
25,116.869
26,108.573
27,114.075
28,113.123
29,107.182
30,90.9686
31,118.599
32,116.888
